Id_Cotacao;AnoMes;DOL-BRL;;;;;;;
219;20203;4.89;;;;;;;
220;20204;5.32;;;;;;;
221;20205;5.64;;;;;;;
222;20206;5.19;;;;;;;
223;20207;5.27;;;;;;;
224;20208;5.47;;;;;;;
225;20209;5.40;;;;;;;
226;202010;5.63;;;;;;;
227;202011;5.45;;;;;;;
228;202012;5.14;;;;;;;
229;20211;5.37;;;;;;;
230;20212;5.41;;;;;;;
231;20213;5.64;;;;;;;
232;20214;5.57;;;;;;;
233;20215;5.29;;;;;;;
234;20216;5.03;;;;;;;
235;20217;5.16;;;;;;;
236;20218;5.25;;;;;;;
237;20219;5.28;;;;;;;
238;202110;5.54;;;;;;;
239;202111;5.57;;;;;;;
240;202112;5.65;;;;;;;
241;20221;5.53;;;;;;;
242;20222;5.20;;;;;;;
243;20223;4.98;;;;;;;
244;20224;4.75;;;;;;;
245;20225;4.96;;;;;;;
246;20226;5.05;;;;;;;
247;20227;5.37;;;;;;;
248;20228;5.14;;;;;;;
249;20229;5.24;;;;;;;
250;202210;5.25;;;;;;;
251;202211;5.27;;;;;;;
252;202212;5.25;;;;;;;
253;20231;5.19;;;;;;;
254;20232;5.18;;;;;;;
255;20233;5.21;;;;;;;
256;20234;5.02;;;;;;;
257;20235;4.98;;;;;;;
258;20236;4.85;;;;;;;
259;20237;4.80;;;;;;;
260;20238;4.90;;;;;;;
261;20239;4.94;;;;;;;
262;202310;5.06;;;;;;;
263;202311;4.90;;;;;;;
264;202312;4.90;;;;;;;
265;20241;4.92;;;;;;;
266;20242;4.96;;;;;;;
267;20243;4.98;;;;;;;
268;20244;5.13;;;;;;;
269;20245;5.14;;;;;;;
270;20246;5.39;;;;;;;
271;20247;5.54;;;;;;;
272;20248;5.55;;;;;;;
